date,preregistered_top5_monthly,recommended_top12_quarterly,benchmark_gbp
2024-07-03,1531.0027863053626,1359.41110661999,1330.9825237251096
2024-07-04,1541.180490073738,1364.970920321857,1334.8146868989834
2024-07-05,1535.1218007226753,1364.2600753139582,1337.1464711464612
2024-07-08,1545.9670606533657,1366.9335308015795,1333.9983349837837
2024-07-09,1546.499574807193,1367.4746378580153,1335.8709157512476
2024-07-10,1545.3629359850036,1368.1507406584815,1336.5800500447108
2024-07-11,1541.2727260378858,1360.9716046818876,1331.784838101905
2024-07-12,1541.947788706154,1367.3125229160134,1343.0364410057914
2024-07-15,1544.3285362839972,1367.294869842108,1339.2652105428167
2024-07-16,1533.1599328800532,1362.654342946576,1336.561417596683
2024-07-17,1514.7572050810772,1347.8817371668292,1325.5000427475095
2024-07-18,1505.261395920635,1340.1061070882129,1320.6175211873715
2024-07-19,1491.117811081442,1328.5350286787732,1310.28318613343
2024-07-22,1499.3937538211387,1333.8731849132132,1318.24024588493
2024-07-23,1506.6577564942859,1342.2546042509755,1330.2316260314383
2024-07-24,1486.037923111295,1322.4062553765568,1307.6021926437845
2024-07-25,1463.0715585063062,1313.5925106006105,1305.1760519199895
2024-07-26,1462.6851402920363,1318.1648452446295,1307.4895140627132
2024-07-29,1465.8553934843942,1317.192653729897,1305.1923844739135
2024-07-30,1458.9659540305922,1315.9827590794032,1307.4470167267843
2024-07-31,1483.9483503129366,1337.7309393726312,1327.9149869658936
2024-08-01,1460.8469546795998,1325.0143808391315,1322.0461386406153
2024-08-02,1411.7775915411214,1288.0110408362154,1285.048597268537
2024-08-05,1367.359071374268,1255.4450960991019,1255.658426598594
2024-08-06,1393.2107234922169,1266.8950033013546,1272.2047167723408
2024-08-07,1423.2529279902142,1280.624485294403,1291.0146781662033
2024-08-08,1422.3505114471707,1277.0311239163134,1281.8876201303976
2024-08-09,1433.1869259690504,1284.9630493042275,1288.6283122468583
2024-08-12,1442.1120604576101,1294.136601394696,1289.8527875293296
2024-08-13,1452.0570752232834,1296.028406190344,1294.9225297285843
2024-08-14,1465.4839837445033,1308.3801791199792,1310.3472376398076
2024-08-15,1484.0086175299812,1326.8772027493276,1325.7243481910132
2024-08-16,1488.4483286566947,1329.9311327926002,1328.2943873790382
2024-08-19,1487.6964175284427,1333.0277268036782,1327.4959893859634
2024-08-20,1487.73144410136,1332.3192033805442,1324.3031884126915
2024-08-21,1485.453719542147,1331.853514254479,1323.7343772023626
2024-08-22,1479.3876960426062,1328.7941151627117,1322.2918218599395
2024-08-23,1481.0929409388887,1333.283300009022,1332.1323526389658
2024-08-27,1463.1558777646248,1328.1663059284301,1312.7148357575325
2024-08-28,1460.2931852403035,1322.969840114789,1314.8089025713207
2024-08-29,1477.9352668911843,1332.4976924970576,1327.2135097984844
2024-08-30,1467.964832061341,1330.279360624828,1319.9342070478117
2024-09-02,1476.8833005896643,1336.2179279915367,1331.6717767248808
2024-09-03,1451.5743085026293,1316.6002004730442,1317.3703896941327
2024-09-04,1435.4263699324679,1303.937763921863,1303.9871087370059
2024-09-05,1428.010908308443,1298.3639707715322,1292.220425619226
2024-09-06,1402.2652114388147,1281.3035809119008,1277.0472539114076
2024-09-09,1422.5373736504198,1295.3163297052533,1295.630588782964
2024-09-10,1424.5057417582752,1293.7882141630655,1295.7604921008679
2024-09-11,1422.4843106728374,1291.4866085813042,1291.8276520723934
2024-09-12,1450.5328587863737,1313.1556973797353,1309.1217755363407
2024-09-13,1460.8214016950667,1328.5584005352473,1324.2211807814108
2024-09-16,1452.8268037568387,1327.2862030272524,1315.485342585839
2024-09-17,1460.0895163914597,1338.992587265096,1327.34225424879
2024-09-18,1449.7801594675543,1331.297246647571,1317.067038672701
2024-09-19,1468.576279303185,1345.8731543714819,1330.4681576010298
2024-09-20,1467.2528239986175,1341.0998518893773,1321.883659228113
2024-09-23,1464.3715886616417,1336.8228995319653,1323.5586512327634
2024-09-24,1460.6141019664447,1339.6762551315833,1318.3867591965948
2024-09-25,1471.0355475895883,1349.7802306157919,1330.0499939960982
2024-09-26,1473.5674289368294,1356.8790694168385,1326.4898663990427
2024-09-27,1472.511556104305,1355.8708979438352,1329.2000204576518
2024-09-30,1461.6582869686665,1341.143639531433,1327.0144403106365
2024-10-01,1457.2099381794649,1343.6495724520687,1330.0007140905857
2024-10-02,1457.7547609758267,1342.1840953704407,1332.7881222045817
2024-10-03,1469.9955217519855,1347.9204386625138,1340.0351794443968
2024-10-04,1469.911636345008,1353.420139090191,1342.0487059813065
2024-10-07,1472.3141483761353,1356.3397711135974,1352.653853397401
2024-10-08,1475.7747477278901,1352.360300949844,1349.2120113459325
2024-10-09,1486.6760285884404,1358.6313341125456,1360.1693842659176
2024-10-10,1485.3394841571765,1361.142435967254,1360.6827593886908
2024-10-11,1493.8370014448917,1372.745694803761,1368.9055735381423
2024-10-14,1504.3831738394163,1379.0186922370376,1374.8005027549698
2024-10-15,1506.8137953332732,1379.9799600317053,1370.5358177917444
2024-10-16,1515.834017598128,1390.0838497651919,1374.3246729319058
2024-10-17,1520.82060419416,1396.6996442385162,1379.6270364377765
2024-10-18,1518.869464356283,1399.152587378493,1380.2618534366893
2024-10-21,1514.1238521688226,1403.423608194639,1373.6923676278202
2024-10-22,1512.983004655885,1405.5993759599735,1374.2192756550053
2024-10-23,1513.3442164417834,1402.9944743247192,1372.7407014543849
2024-10-24,1509.0033644737491,1395.3845727412374,1366.8118606324695
2024-10-25,1506.5455852724597,1391.7410028495835,1374.4541630963124
2024-10-28,1509.8861590644576,1393.3513454006177,1375.5488883234118
2024-10-29,1503.277034867903,1392.0784487263384,1372.0191568421455
2024-10-30,1499.3910893579446,1389.206833106593,1369.1409981807012
2024-10-31,1488.0514731671012,1376.848154914403,1350.4151417208784
2024-11-01,1492.0163011479328,1379.0895566745194,1365.8586752426695
2024-11-04,1470.799088792902,1368.3320460513494,1354.248317219233
2024-11-05,1477.3707288322507,1375.4890777507146,1364.078368389369
2024-11-06,1485.7395878957188,1387.224816739615,1373.1349645779753
2024-11-07,1500.6330260280845,1400.4212530603995,1407.408685225789
2024-11-08,1495.9097697307136,1399.6880533364226,1397.0564179778269
2024-11-11,1507.461129943761,1407.377502291817,1409.8683145578086
2024-11-12,1493.9892829648074,1397.9400179849788,1403.5666426021785
2024-11-13,1508.6119234336188,1409.2485537735283,1418.788701019467
2024-11-14,1503.7507510455548,1403.0710632890111,1422.0134316262418
2024-11-15,1504.0992113415994,1397.7619806101163,1404.8631720950345
2024-11-18,1517.858451143348,1410.261575518247,1417.1303675799907
2024-11-19,1516.6489750860994,1407.0153558599568,1409.3338528424513
2024-11-20,1508.0476201902436,1402.0461892177088,1400.3470239669807
2024-11-21,1526.4899247103956,1420.8370644887389,1420.2224618226721
2024-11-22,1542.6617365112904,1431.1440475299778,1432.2551115415936
2024-11-25,1544.185072327623,1429.3056869748252,1440.674803785832
2024-11-26,1553.9751390045317,1435.4530739761526,1447.5282270261605
2024-11-27,1551.0814434404438,1429.887735101506,1444.143554788243
2024-11-28,1537.1013555828147,1425.33087713926,1435.9719259829537
2024-11-29,1545.6843662911358,1429.8768218176704,1439.1415869258208
2024-12-02,1535.6291527858154,1424.7357424319407,1441.1952095392846
2024-12-03,1542.81811974611,1433.0189814125997,1448.7119605018065
2024-12-04,1547.728404278686,1434.4692852229875,1454.9979464329047
2024-12-05,1550.381562369568,1438.1461352531962,1455.6912590905088
2024-12-06,1544.7426918863798,1429.8469933299468,1449.8307349233917
2024-12-09,1525.6386142751614,1427.8640920219684,1446.8246929136108
2024-12-10,1518.4146791298067,1421.6693408348174,1440.1089046865673
2024-12-11,1524.244759875824,1425.0189367889977,1443.4732204710242
2024-12-12,1526.4563730227642,1423.347047280086,1442.3047396916008
2024-12-13,1535.466216400127,1422.3592957481765,1444.480814323265
2024-12-16,1541.0765547686588,1423.9889964454485,1453.727359427383
2024-12-17,1530.0907424363738,1409.137016970695,1442.0859779417829
2024-12-18,1527.4150070846854,1408.7168417315568,1439.1118519961185
2024-12-19,1511.8545797393324,1389.1170319836283,1419.6073019975329
2024-12-20,1527.033116011417,1397.2183103067807,1436.783873903029
2024-12-23,1525.4018795383095,1393.5802855757042,1422.1181777631095
2024-12-24,1535.998747912366,1401.878978913555,1437.2139634918044
2024-12-27,1532.2791006887494,1401.5400378446745,1437.4906361087028
2024-12-30,1520.3062602977307,1388.0800995905297,1418.09198339441
2024-12-31,1527.8190777289406,1393.7512389926478,1426.4528837432779
2025-01-02,1534.0928391909545,1404.3550247709254,1424.7063918237366
2025-01-03,1544.8247257787334,1415.652700203247,1444.7095933476025
2025-01-06,1554.4866190919038,1420.7039301752109,1462.8263152151226
2025-01-07,1535.6653066062283,1405.5702278349486,1438.06704586251
2025-01-08,1537.7329248724582,1408.841259472316,1433.935528388406
2025-01-09,1549.4245130872582,1420.3845205645537,1447.3558531579145
2025-01-10,1532.3079748255896,1410.2653221089447,1431.9048927659692
2025-01-13,1533.613289524937,1409.4517645811259,1437.296314700679
2025-01-14,1544.2928946347283,1420.708701493534,1443.0132250457168
2025-01-15,1570.797221983415,1443.1634170816385,1464.5730424663711
2025-01-16,1583.9067532153426,1454.8603611573226,1472.062746795666
2025-01-17,1599.077143424432,1470.2933509969653,1484.3157481629723
2025-01-20,1604.0078530384305,1470.8844284065922,1499.8202729645327
2025-01-21,1599.4306983824638,1469.8418952107504,1483.1296585101445
2025-01-22,1614.8394766973051,1480.2771057776717,1494.96901060627
2025-01-23,1618.4519333759388,1483.253960022208,1499.4202243689203
2025-01-24,1612.9860160695175,1478.0094905104756,1502.7601838938663
2025-01-27,1560.8878952956525,1439.593080982123,1463.9159400307944
2025-01-28,1580.3432017540501,1453.7081508505971,1472.1247611256367
2025-01-29,1585.10877722589,1458.2082219704537,1477.948452221783
2025-01-30,1592.584239779345,1465.345391402638,1481.1082639967399
2025-01-31,1612.7075175794955,1482.2214950431926,1496.2895901537468
2025-02-03,1590.921087660648,1468.4534660822765,1485.8682499775623
2025-02-04,1591.670717949238,1465.4638837867062,1478.3279670881188
2025-02-05,1599.161435093727,1462.9238639658658,1475.4812707118174
2025-02-06,1602.1607349785802,1475.2346069930195,1482.6006696729835
2025-02-07,1611.5702093879124,1477.5572332720465,1482.829299661534
2025-02-10,1632.2121073221792,1484.9780991346117,1492.1923915289362
2025-02-11,1620.2396694221725,1481.4121636739728,1498.0664993679536
2025-02-12,1620.603155451107,1470.5345466632834,1479.160514196781
2025-02-13,1625.0931589295392,1476.0745140607285,1497.8514719774323
2025-02-14,1626.1493436717453,1473.656535248792,1490.3239633861372
2025-02-17,1621.7858069572014,1479.6811633048776,1491.8106138280846
2025-02-18,1622.6493939245318,1478.531941954109,1485.3040773450841
2025-02-19,1626.8088282948702,1480.4341142659705,1482.8347436982658
2025-02-20,1638.161154674491,1461.6604862278216,1481.3057899807516
2025-02-21,1630.046930226603,1455.1042439752632,1470.7010859509332
2025-02-24,1605.3940895843696,1436.7239112366133,1458.7155154144662
2025-02-25,1582.7302194795363,1413.7346034961633,1444.2210333985117
2025-02-26,1604.6582062175996,1434.4449559317213,1457.4567562521743
2025-02-27,1591.2395069518097,1428.5389985651573,1445.9978786580193
2025-02-28,1569.0460071187993,1417.6682248633533,1439.1761496885445
2025-03-03,1577.9623927793843,1432.1843710622816,1455.2459449769474
2025-03-04,1556.711795270424,1380.0373436174427,1399.4525075818194
2025-03-05,1592.8317435081094,1375.5314208439365,1400.66834277393
2025-03-06,1606.0798470742782,1375.3025481403072,1402.6206528609907
2025-03-07,1603.7499310341152,1342.9997824570191,1379.2309422570868
2025-03-10,1584.0238917547235,1334.905846522383,1364.3665246160956
2025-03-11,1580.4266209446052,1323.8150473628614,1351.4068313718947
2025-03-12,1592.8926241906938,1331.4929658065594,1357.0611938148193
2025-03-13,1611.92063706892,1316.961336121685,1340.1107059614033
2025-03-14,1641.0262161208889,1340.6811859343593,1356.9136309476464
2025-03-17,1651.3073713193983,1349.917313149079,1371.4613759950341
2025-03-18,1673.6698676378444,1344.8296299062813,1361.608129605085
2025-03-19,1669.8875629467989,1353.39683559892,1367.1346830261555
2025-03-20,1648.4356783615585,1354.5704512888306,1366.449196547402
2025-03-21,1638.522520686591,1352.3161241866162,1364.9584241505163
