Date,r_silver,r_gold,beta,w_3sil,w_3gos,r_under,r_letf
2013-04-18,-0.0026608417267394158,0.007090181720680988,1.209966936391091,0.45249545752617226,0.5475045424738277,-0.011239727181767904,-0.01525777648075027
2013-04-19,-0.012220852567345064,0.002370724732848384,1.2001827659403588,0.4545076961243261,0.5454923038756738,-0.015066155534498256,-0.0205430509243067
2013-04-22,0.01590066531610934,0.01841894235828323,1.1956118262328075,0.45545391405355223,0.5445460859464477,-0.006121239994154485,-0.00836382814259641
2013-04-23,-0.021740993830070665,-0.008726266301240293,1.1849661112629084,0.45767300227004476,0.5423269977299552,-0.011400663985245392,-0.015653328341997695
2013-04-24,0.0007013872736292281,0.010506921116457235,1.1872352371022568,0.4571981938828139,0.5428018061171861,-0.011772799709282586,-0.01614750829208434
2013-04-25,0.057426908294790024,0.02697767581525068,1.1782865595404497,0.45907642207137744,0.5409235779286227,0.025639475474040704,0.035311435993228314
2013-04-26,-0.015824357048087934,-0.005609572423233455,1.2273276957470243,0.4489685114181681,0.5510314885818318,-0.008939573451754765,-0.012040760956043136
2013-04-29,0.015321168840740196,0.009493704636698519,1.2110162675611846,0.45228070669196346,0.5477192933080365,0.0038241380862772435,0.005188751628447371
2013-04-30,0.0009120039535457369,0.0032710417595427366,1.2094515267787966,0.4526010133645792,0.5473989866354209,-0.003044162496690427,-0.004133373092545605
2013-05-01,-0.03474978569581688,-0.01759265263059795,1.2017914636549576,0.4541756185846989,0.5458243814153011,-0.013607085941317331,-0.018540020023598884
2013-05-02,0.020811010684425924,0.014796308940934866,1.21728199984083,0.4510026239656418,0.5489973760343583,0.0027997301465419767,0.0037880569274584275
2013-05-03,0.007776353880744713,-0.0023164832437552185,1.2224405293970346,0.4499557971395112,0.5500442028604888,0.010608116883580203,0.014319551065501313
2013-05-06,-0.002377522960777867,0.002595046528103051,1.2228689659494052,0.44986907249968827,0.5501309275003118,-0.005550924825189839,-0.0074915682078709415
2013-05-07,-0.006145972223108309,-0.01300999652855006,1.2206002415091695,0.45032869100310363,0.5496713089968964,0.00973403268167335,0.013150542587158169
2013-05-08,0.005090248217703097,0.017184281859256467,1.2126823474331134,0.4519401536149457,0.5480598463850542,-0.015748827046332303,-0.021352581943723893
2013-05-09,-0.0005441356175001077,-0.003460190990881462,1.1946469056761344,0.4556541635074169,0.544345836492583,0.0035895708428048687,0.004906808699186596
2013-05-10,-0.010343806005252754,-0.02178649165046731,1.1933701149661018,0.4559194060212017,0.5440805939787983,0.01565554204037344,0.021412996283961032
2013-05-13,0.0016079936890909252,-0.0016008134395603113,1.171868380584368,0.46043305797883466,0.5395669420211654,0.003483936342126159,0.004812358391426229
2013-05-14,-0.013308007310616654,-0.006831682696497032,1.1701396853951693,0.46079983087259474,0.5392001691274052,-0.005313984269417994,-0.0073460491578223215
2013-05-15,-0.03048597333092906,-0.01979360717228873,1.1743356076802844,0.4599106027918394,0.5400893972081606,-0.007241635624074538,-0.009991515015200937
2013-05-16,0.0,-0.0067311309803527175,1.1798335715173836,0.45875061888504604,0.5412493811149539,0.007941614304900854,0.010929661431958804
2013-05-17,-0.01342573651262402,-0.016004579022861898,1.1713544861451122,0.46054202866494537,0.5394579713350546,0.005321298924669218,0.00735204540569926
2013-05-20,0.010251134086459501,0.014213513127007804,1.165152892974411,0.46186114765606007,0.53813885234394,-0.006309781852803408,-0.008742729263985494
2013-05-21,-0.005583186529697248,-0.004695513812560059,1.1599472604011376,0.46297426716533974,0.5370257328346602,-0.00013663814664250686,-0.00018977983742593518
2013-05-22,0.0007129822691023247,-0.007403159297942441,1.1533007600162906,0.4644033098248823,0.5355966901751177,0.00925105151394101,0.012888656827304081
2013-05-23,0.001602960985047197,0.01784149228549703,1.1633900995608604,0.46223748560326067,0.5377625143967392,-0.019153654501291514,-0.026560611290371693
2013-05-24,-0.0005334369398848349,-0.003735597106232058,1.1443534713881025,0.46634102695423196,0.533658973045768,0.003741406576339171,0.005234314155189979
2013-05-28,-0.013432970423540525,-0.005552403353817459,1.1411196628530367,0.4670453582531219,0.5329546417468781,-0.0070970137804082754,-0.009943882030794377
2013-05-29,0.011947672948705801,0.00884640233352485,1.1431163225793364,0.46661022990877843,0.5333897700912215,0.001835206045149614,0.0025689777439717263
2013-05-30,0.010202721972214723,0.014518759766370515,1.1451576563433405,0.4661662032359015,0.5338337967640984,-0.006423546934854123,-0.008983321457785678
