date,close,ret,pos_streak_prior,neg_streak_prior,next_ret,next_sign
2023-11-15,131.375,0.018410852713178327,4,0,0.018410852713178327,1
2023-11-16,127.80500030517578,-0.02717411756288657,5,0,-0.02717411756288657,-1
2023-11-17,129.05499267578125,0.009780465299641605,0,1,0.009780465299641605,1
2023-11-20,132.7050018310547,0.02828258775267356,1,0,0.02828258775267356,1
2023-11-21,131.13999938964844,-0.011793093099826346,2,0,-0.011793093099826346,-1
2023-11-22,134.0800018310547,0.022418807801506846,0,1,0.022418807801506846,1
2023-11-23,134.19500732421875,0.0008577378549634584,1,0,0.0008577378549634584,1
2023-11-24,132.76499938964844,-0.010656193274876324,2,0,-0.010656193274876324,-1
2023-11-27,133.2100067138672,0.0033518421742519955,0,1,0.0033518421742519955,1
2023-11-28,133.56500244140625,0.002664932885271698,1,0,0.002664932885271698,1
2023-11-29,133.72500610351562,0.0011979460126883001,2,0,0.0011979460126883001,1
2023-11-30,130.02000427246094,-0.02770612572032094,3,0,-0.02770612572032094,-1
2023-12-01,131.67999267578125,0.012767176963336846,0,1,0.012767176963336846,1
2023-12-04,126.84500122070312,-0.036717737879760515,1,0,-0.036717737879760515,-1
2023-12-05,129.6300048828125,0.02195595912576498,0,1,0.02195595912576498,1
2023-12-06,130.44000244140625,0.006248534506544168,1,0,0.006248534506544168,1
2023-12-07,131.84500122070312,0.010771226257282551,2,0,0.010771226257282551,1
2023-12-08,133.89999389648438,0.01558642843304514,3,0,0.01558642843304514,1
2023-12-11,136.35499572753906,0.018334592553847395,4,0,0.018334592553847395,1
2023-12-12,139.7550048828125,0.024934980468682255,5,0,0.024934980468682255,1
2023-12-13,142.6750030517578,0.02089369301223809,6,0,0.02089369301223809,1
2023-12-14,146.92999267578125,0.02982295099359389,7,0,0.02982295099359389,1
2023-12-15,149.625,0.01834211841394162,8,0,0.01834211841394162,1
2023-12-18,150.35499572753906,0.004878835271773241,9,0,0.004878835271773241,1
2023-12-19,152.74000549316406,0.015862524248591692,10,0,0.015862524248591692,1
2023-12-20,154.22000122070312,0.009689640397487764,11,0,0.009689640397487764,1
2023-12-21,150.24000549316406,-0.02580726038150727,12,0,-0.02580726038150727,-1
2023-12-22,151.60000610351562,0.00905218690512788,0,1,0.00905218690512788,1
2023-12-27,154.75999450683594,0.020844249842329132,1,0,0.020844249842329132,1
2023-12-28,156.01499938964844,0.008109362415084975,2,0,0.008109362415084975,1
2023-12-29,155.39999389648438,-0.003941963885331856,3,0,-0.003941963885331856,-1
2024-01-02,146.50999450683594,-0.05720720552647052,0,1,-0.05720720552647052,-1
2024-01-03,141.9199981689453,-0.03132889570667796,0,2,-0.03132889570667796,-1
2024-01-04,141.60499572753906,-0.0022195775470013057,0,3,-0.0022195775470013057,-1
2024-01-05,140.6699981689453,-0.006602857150553976,0,4,-0.006602857150553976,-1
2024-01-08,144.02999877929688,0.02388569456236289,0,5,0.02388569456236289,1
2024-01-09,147.02000427246094,0.020759602294698087,1,0,0.020759602294698087,1
2024-01-10,149.4199981689453,0.016324267628483158,2,0,0.016324267628483158,1
2024-01-11,147.60000610351562,-0.012180378046664608,3,0,-0.012180378046664608,-1
2024-01-12,152.48500061035156,0.03309616737691701,0,1,0.03309616737691701,1
2024-01-15,152.18499755859375,-0.0019674266357805337,1,0,-0.0019674266357805337,-1
2024-01-16,152.77999877929688,0.0039097232332250265,0,1,0.0039097232332250265,1
2024-01-17,148.3249969482422,-0.029159588078609078,1,0,-0.029159588078609078,-1
2024-01-18,155.38499450683594,0.04759816419249496,0,1,0.04759816419249496,1
2024-01-19,159.89500427246094,0.029024744505986355,1,0,0.029024744505986355,1
2024-01-22,166.9499969482422,0.04412265854009756,2,0,0.04412265854009756,1
2024-01-23,164.97500610351562,-0.011829834566207564,3,0,-0.011829834566207564,-1
2024-01-24,172.64999389648438,0.0465221246190044,0,1,0.0465221246190044,1
2024-01-25,173.2100067138672,0.003243630681612375,1,0,0.003243630681612375,1
2024-01-26,169.92999267578125,-0.018936631320061847,2,0,-0.018936631320061847,-1
2024-01-29,168.5050048828125,-0.00838573444587598,0,1,-0.00838573444587598,-1
2024-01-30,170.9199981689453,0.014331878675130971,0,2,0.014331878675130971,1
2024-01-31,162.23500061035156,-0.05081323222347034,1,0,-0.05081323222347034,-1
2024-02-01,160.64500427246094,-0.00980057528837075,0,1,-0.00980057528837075,-1
2024-02-02,171.39999389648438,0.06694879602843118,0,2,0.06694879602843118,1
2024-02-05,169.69500732421875,-0.009947413261259141,1,0,-0.009947413261259141,-1
2024-02-06,171.10000610351562,0.008279552836887527,0,1,0.008279552836887527,1
2024-02-07,175.9949951171875,0.02860893535392628,1,0,0.02860893535392628,1
2024-02-08,177.05999755859375,0.006051322315711927,2,0,0.006051322315711927,1
2024-02-09,180.61500549316406,0.02007798477120093,3,0,0.02007798477120093,1
2024-02-12,184.3699951171875,0.020790020263103504,4,0,0.020790020263103504,1
2024-02-13,173.72500610351562,-0.057737100914418416,5,0,-0.057737100914418416,-1
2024-02-14,173.7949981689453,0.0004028899868795399,0,1,0.0004028899868795399,1
2024-02-15,176.16000366210938,0.013608018171300085,1,0,0.013608018171300085,1
2024-02-16,176.97500610351562,0.0046264896938210676,2,0,0.0046264896938210676,1
2024-02-19,174.4550018310547,-0.0142393229865857,3,0,-0.0142393229865857,-1
2024-02-20,168.625,-0.03341837018064153,0,1,-0.03341837018064153,-1
2024-02-21,166.07000732421875,-0.01515192098313567,0,2,-0.01515192098313567,-1
2024-02-22,179.72999572753906,0.08225439754845021,0,3,0.08225439754845021,1
2024-02-23,180.7100067138672,0.005452684635979033,1,0,0.005452684635979033,1
2024-02-26,181.17999267578125,0.0026007744145470912,2,0,0.0026007744145470912,1
2024-02-27,179.85499572753906,-0.007313152675821333,3,0,-0.007313152675821333,-1
2024-02-28,179.5850067138672,-0.001501148258794438,0,1,-0.001501148258794438,-1
2024-02-29,179.6699981689453,0.0004732658735455697,0,2,0.0004732658735455697,1
2024-03-01,187.56500244140625,0.04394169506829515,1,0,0.04394169506829515,1
2024-03-04,189.72000122070312,0.011489343700832988,2,0,0.011489343700832988,1
2024-03-05,179.0,-0.05650432822964424,3,0,-0.05650432822964424,-1
2024-03-06,183.35499572753906,0.024329585070050674,0,1,0.024329585070050674,1
2024-03-07,188.60000610351562,0.028605767490352596,1,0,0.028605767490352596,1
2024-03-08,186.77999877929688,-0.009650091544640804,2,0,-0.009650091544640804,-1
2024-03-11,179.39500427246094,-0.03953846533408645,0,1,-0.03953846533408645,-1
2024-03-12,184.25,0.027063160132181796,0,2,0.027063160132181796,1
2024-03-13,182.7550048828125,-0.008113949075644555,1,0,-0.008113949075644555,-1
2024-03-14,181.2050018310547,-0.008481316573254571,0,1,-0.008481316573254571,-1
2024-03-15,174.01499938964844,-0.03967882988191351,0,2,-0.03967882988191351,-1
2024-03-18,181.21499633789062,0.04137572607818818,0,3,0.04137572607818818,1
2024-03-19,178.52999877929688,-0.014816641077471049,1,0,-0.014816641077471049,-1
2024-03-20,180.96499633789062,0.013639150704324754,0,1,0.013639150704324754,1
2024-03-21,193.86500549316406,0.0712845545620715,1,0,0.0712845545620715,1
2024-03-22,189.3350067138672,-0.023366768890410228,2,0,-0.023366768890410228,-1
2024-03-25,188.48500061035156,-0.004489429177775839,0,1,-0.004489429177775839,-1
2024-03-26,189.71499633789062,0.006525695538404097,0,2,0.006525695538404097,1
2024-03-27,186.0050048828125,-0.019555604600020482,1,0,-0.019555604600020482,-1
2024-03-28,187.30999755859375,0.007015900871072844,0,1,0.007015900871072844,1
2024-04-02,180.97999572753906,-0.03379425505077249,1,0,-0.03379425505077249,-1
2024-04-03,186.14999389648438,0.028566683009146665,0,1,0.028566683009146665,1
2024-04-04,187.92999267578125,0.009562174792692835,1,0,0.009562174792692835,1
2024-04-05,181.32000732421875,-0.0351725940997939,2,0,-0.0351725940997939,-1
2024-04-08,182.625,0.00719717969924738,0,1,0.00719717969924738,1
2024-04-09,179.3699951171875,-0.01782343536105402,1,0,-0.01782343536105402,-1
2024-04-10,177.9600067138672,-0.007860781857072174,0,1,-0.007860781857072174,-1
2024-04-11,180.18499755859375,0.012502757702768541,0,2,0.012502757702768541,1
2024-04-12,180.38499450683594,0.0011099533865306377,1,0,0.0011099533865306377,1
2024-04-15,178.27000427246094,-0.011724867914636006,2,0,-0.011724867914636006,-1
2024-04-16,170.01499938964844,-0.046306191086392,0,1,-0.046306191086392,-1
2024-04-17,165.88499450683594,-0.02429200304466761,0,2,-0.02429200304466761,-1
2024-04-18,164.26499938964844,-0.009765772498010583,0,3,-0.009765772498010583,-1
2024-04-19,154.41000366210938,-0.05999449526166134,0,4,-0.05999449526166134,-1
2024-04-22,150.72000122070312,-0.02389743121489052,0,5,-0.02389743121489052,-1
2024-04-23,160.63499450683594,0.06578419059069707,0,6,0.06578419059069707,1
2024-04-24,162.65499877929688,0.012575119628587483,1,0,0.012575119628587483,1
2024-04-25,155.65499877929688,-0.04303587379751017,2,0,-0.04303587379751017,-1
2024-04-26,167.39999389648438,0.07545530313382809,0,1,0.07545530313382809,1
2024-04-29,167.8699951171875,0.00280765375053571,1,0,0.00280765375053571,1
2024-04-30,165.5449981689453,-0.013849985202055604,2,0,-0.013849985202055604,-1
2024-05-01,156.6999969482422,-0.05342958904548989,0,1,-0.05342958904548989,-1
2024-05-02,158.64500427246094,0.012412299694308127,0,2,0.012412299694308127,1
2024-05-03,170.2050018310547,0.07286707584400398,1,0,0.07286707584400398,1
2024-05-07,178.5500030517578,0.04902911859773873,2,0,0.04902911859773873,1
2024-05-08,176.97999572753906,-0.008793096036876835,3,0,-0.008793096036876835,-1
2024-05-09,178.27499389648438,0.007317200814825231,0,1,0.007317200814825231,1
2024-05-10,178.5449981689453,0.0015145381108117029,1,0,0.0015145381108117029,1
2024-05-13,179.71499633789062,0.006552959651315637,2,0,0.006552959651315637,1
2024-05-14,181.9949951171875,0.012686747493292794,3,0,0.012686747493292794,1
2024-05-15,189.1300048828125,0.03920442845711625,4,0,0.03920442845711625,1
2024-05-16,193.58999633789062,0.023581617617160155,5,0,0.023581617617160155,1
2024-05-17,190.7449951171875,-0.01469601360876871,6,0,-0.01469601360876871,-1
2024-05-20,193.78500366210938,0.015937553397163517,0,1,0.015937553397163517,1
2024-05-21,193.72999572753906,-0.0002838606369470753,1,0,-0.0002838606369470753,-1
2024-05-22,196.5500030517578,0.01455637942709087,0,1,0.01455637942709087,1
2024-05-23,198.35499572753906,0.009183376483112848,1,0,0.009183376483112848,1
2024-05-24,198.38499450683594,0.00015123783087411802,2,0,0.00015123783087411802,1
2024-05-28,199.2050018310547,0.004133414053100193,3,0,0.004133414053100193,1
2024-05-29,196.80499267578125,-0.012047936212509769,4,0,-0.012047936212509769,-1
2024-05-30,191.4149932861328,-0.027387513479030345,0,1,-0.027387513479030345,-1
