portfolio,policy,family,currency,cost_model,start,end,years,cagr,volatility,sharpe,sortino,max_drawdown,ulcer_index,time_underwater,terminal_wealth,trades_per_year,turnover_per_year,cost_drag_bps,total_cost,mean_abs_weight_deviation,max_abs_weight_deviation,mean_equity_weight,max_equity_weight,allocation_effect_bps,rebalancing_effect_bps,cost_effect_bps
40/30/30,Semi-annual,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08548931757579159,0.10211858573585322,0.5242908095771143,0.5375056051664555,-0.1760955196948396,0.05056862405350897,0.9230769230769231,1725269.8267887589,2.016230426334438,0.10951821827592602,1.868348178284407,2151.925141763003,0.017803671829125563,0.12420251946734218,0.3988957192913517,0.451942725525079,-0.07885647324679113,-9.421747995239649,7.510629804154956
40/30/30,Annual,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08672749687565173,0.10189558177918177,0.5364146319051494,0.5510701382153523,-0.16852023818593975,0.048840112328788515,0.9226197279689108,1794924.1696892201,1.008115213167219,0.08470961165711045,1.0744586034827641,1316.5608354140497,0.02460566812603197,0.15597506380982892,0.4007002338385967,0.49227208782709403,0.7808595272673635,1.3064394280459801,8.304519378956599
40/30/30,Daily (constant mix),control,GBP,base,1991-11-01,2026-08-04,34.72,0.06375977705729241,0.10371191552260507,0.3228227730217477,0.33127573467024696,-0.22779093407097006,0.0730266410331297,0.9427363127214539,854991.3041036248,252.0,1.2848557995638343,242.77740609919718,161974.73139201413,0.0025493170626266553,0.04080317923640711,0.40002779511620024,0.44080317923640716,-0.15777386012549854,14.270822127560034,-233.39842811675783
40/30/30,Band 5pp (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.08823617710914333,0.10371674772107423,0.5421730468687059,0.556842833895095,-0.17148990127613228,0.048712700381759,0.9207909475368613,1883492.8457322817,1.1233283803863299,0.11699187586320546,1.1694362525926927,1792.2668823201338,0.023820477246293863,0.06096351925305757,0.4087595004136645,0.4533961074929848,3.617774042166122,13.651304897173144,8.20954172984667
40/30/30,Band 25% rel (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.08761216868297828,0.1042732119436208,0.5343512693183275,0.5489142543246448,-0.16488731950552182,0.04844445915099011,0.9210195450908675,1846356.7123243106,0.37444279346210996,0.06177380200857209,0.5223343029525651,762.6959740855035,0.035089603353114285,0.10426747213139251,0.41765693554897365,0.4884294032331411,6.907139202565471,3.4747535254830986,8.856643679486798
40/30/30,5/25 rule (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.08823617710914333,0.10371674772107423,0.5421730468687059,0.556842833895095,-0.17148990127613228,0.048712700381759,0.9207909475368613,1883492.8457322817,1.1233283803863299,0.11699187586320546,1.1694362525926927,1792.2668823201338,0.023820477246293863,0.06096351925305757,0.4087595004136645,0.4533961074929848,3.617774042166122,13.651304897173144,8.20954172984667
40/30/30,Band 5pp (monthly check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.08779130386817968,0.1031461574936142,0.5406283974206183,0.5550332083444566,-0.17252048355850513,0.049418070089050484,0.9205623499828551,1856944.0498258835,0.7776888787289976,0.09053693797377899,0.8973328417072324,1242.8913125184977,0.0252989609091998,0.10246034055124134,0.4074099186564435,0.47392709801265964,3.1057838793357995,9.442459239481504,8.48164514073213
40/30/30,5/25 rule (monthly check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.08779130386817968,0.1031461574936142,0.5406283974206183,0.5550332083444566,-0.17252048355850513,0.049418070089050484,0.9205623499828551,1856944.0498258835,0.7776888787289976,0.09053693797377899,0.8973328417072324,1242.8913125184977,0.0252989609091998,0.10246034055124134,0.4074099186564435,0.47392709801265964,3.1057838793357995,9.442459239481504,8.48164514073213
40/30/30,5/25 rule (annual check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.08909660842808154,0.10221312568799945,0.5563864823100488,0.5713694242211557,-0.15809141540761917,0.04692050996920991,0.9198765573208366,1935890.9223748385,0.43204937707166535,0.0706157535460308,0.5903029600951015,878.4648934573544,0.03695531088610541,0.17434173095679237,0.40434395199393297,0.5202758670842121,2.15284285824735,23.141415977976365,8.788675022344261
40/30/30,Drawdown trigger -15%,opportunistic,GBP,base,1991-11-01,2026-08-04,34.72,0.09055785551575601,0.10580052953547103,0.5537345972900198,0.5658055064598952,-0.18231384802240636,0.050280953576835666,0.916447594010744,2028137.941626282,0.34563950165733226,0.056192863380816395,0.44918027447993225,679.1048128075759,0.06560642284628965,0.205033050458162,0.4536738748073824,0.605033050458162,16.832477993549144,22.933129033804178,8.92979770795943
